Actual,Predicted
44.0,44.64090651031051
39.0,51.83871481361834
58.0,54.95760036579639
44.0,42.74805811302518
41.0,40.07881977459704
53.0,41.511329987631754
41.0,43.15965748198656
34.0,41.280231263933665
58.0,43.43316060988732
40.0,40.94329339916653
36.0,41.58132615291094
31.0,42.16336708897478
40.0,42.304502931049974
30.0,42.430449695916
39.0,45.66293120915927
30.0,41.04550959934762
43.0,43.37861606567516
27.0,42.28434966161977
22.0,44.70353315333964
41.0,43.55088935375226
27.0,41.81107856137386
48.0,44.93305052929407
49.0,43.70935831476242
63.0,43.517279384803984
51.0,48.87019049676785
42.0,55.70807725607726
95.0,107.97264985900102
148.0,99.5896397966339
143.0,131.63267514996053
138.0,131.82129959845247
142.0,137.38313628574758
152.0,132.63574180826458
113.0,153.99201535082182
168.0,137.36042061056006
225.0,177.40719558712692
171.0,184.32658630805318
188.0,183.85801249409099
204.0,187.12441873390813
185.0,188.2861969011272
180.0,177.43787057189414
186.0,182.66941053849638
233.0,183.81103531031675
156.0,186.309045830412
171.0,179.22639812852856
218.0,187.2216009877115
80.0,117.21084656260577
142.0,104.584657772263
115.0,88.33528605367572
122.0,98.3303897059363
87.0,94.62844543274032
78.0,89.15669770186501
80.0,91.99628415428913
77.0,87.26045854628642
102.0,89.4107143663547
86.0,88.27206420788026
93.0,89.73081517774932
69.0,90.8353150283735
113.0,100.34296976963986
185.0,118.82646281412872
114.0,136.71796531111994
79.0,117.17495428828197
156.0,115.90937954432127
121.0,122.99050873523451
169.0,109.56192798250044
193.0,146.63547285465708
95.0,155.50245923583063
140.0,125.74483509876887
188.0,126.89557697636887
172.0,188.29591628599619
189.0,187.12051599170306
180.0,182.04213276116275
204.0,177.34925547066706
173.0,191.7507351289978
151.0,187.2242621371905
237.0,178.40582160678423
202.0,186.76307323651213
171.0,177.67566315321767
198.0,163.9249641094328
136.0,153.68230766409434
155.0,142.48541059976316
105.0,128.5450962442957
150.0,131.88738586286212
132.0,123.41679652628851
158.0,123.03321948078337
132.0,122.61133607956828
143.0,133.0431330666315
127.0,124.53282394283268
114.0,123.2653060089839
132.0,122.47115877884353
112.0,127.85482534092998
162.0,91.44703653832323
24.0,113.51329240681183
50.0,49.08384762746155
36.0,41.38256433838883
37.0,43.09948873041097
57.0,44.78687885233529
58.0,40.62584159920932
48.0,41.3947648406983
35.0,41.231334209522316
56.0,42.32888408883815
30.0,39.70939640376921
38.0,43.397574442857575
52.0,40.40434241569555
54.0,42.14479015735348
31.0,43.15355201056297
42.0,48.588309625539715
49.0,39.02025770859643
54.0,43.615008873157855
42.0,42.75746496918002
54.0,41.25060260199243
33.0,43.77768495202713
49.0,46.91057605928606
57.0,46.125798180763034
31.0,43.467146473673836
49.0,42.35538315321005
35.0,50.472170378078964
114.0,104.47945328136187
151.0,100.08300554448736
88.0,134.597743971378
137.0,125.05810455398048
118.0,129.20005599785
137.0,136.70736337589946
104.0,143.894058215678
222.0,121.14156716984019
196.0,185.37517926768643
191.0,189.73619173159622
167.0,183.31115467351032
155.0,178.60433831366342
155.0,169.04342146043913
172.0,192.42781332036608
170.0,186.16489099586593
169.0,184.5815674683597
181.0,183.53954392720982
213.0,170.43422489488344
178.0,185.059712221061
69.0,124.53678469770415
135.0,101.48590878408628
104.0,122.98256598491167
82.0,102.57393105449138
149.0,91.6785793418802
83.0,96.96505144207342
102.0,91.85572011052649
91.0,93.12605533304266
101.0,92.0217593861559
74.0,89.55040326326396
81.0,90.6434312278562
81.0,88.17485961423003
61.0,89.0774352286327
55.0,89.50432495796538
104.0,95.56390384183176
160.0,105.31620881666082
185.0,159.52486223775435
108.0,152.58704443994228
131.0,115.65296231019063
118.0,122.51717643157637
154.0,111.49469671802373
131.0,153.35100921176695
121.0,146.0735024064078
182.0,122.61481707002949
222.0,183.4544530725732
186.0,185.61085771986976
207.0,194.16353476592238
187.0,188.6593816167275
194.0,192.13633570115937
221.0,186.46719959452824
163.0,188.9158960917005
193.0,173.38955217323308
213.0,159.67819233407684
135.0,147.15882890062076
157.0,132.35754965894955
150.0,129.8377729941492
163.0,131.82115150946956
149.0,131.60990894917128
101.0,134.64150324958072
136.0,132.70269465983395
162.0,130.0395803667492
157.0,126.30454945227763
134.0,104.36019360282373
127.0,126.11771196118066
42.0,109.53076582285601
50.0,42.089639835727084
49.0,44.34586415334489
45.0,42.84226637614743
42.0,41.685836235061835
37.0,41.80684554940432
44.0,42.04601978012097
40.0,43.01627516926169
40.0,41.40834287225931
38.0,39.39197450831017
40.0,41.810726675204634
43.0,44.279825360789225
53.0,39.83096761774488
51.0,43.785896559533576
34.0,42.32815246004113
47.0,42.32321686467202
36.0,41.35420010054431
25.0,42.44769153134331
45.0,43.31608829137092
32.0,39.27216753089219
36.0,42.85209025593691
57.0,43.64784838909737
50.0,44.54487285231751
44.0,44.77707314593983
43.0,52.62947544661704
112.0,105.20700109549493
135.0,106.7632020587659
132.0,131.2823120103359
118.0,125.83973285215778
107.0,123.02763958023665
91.0,119.08323329912223
